"K","eta","model","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","failed"
15,3,"ldl2",64,169,1345.57505387034,50.2924707109078,2.88065886497498,FALSE
15,3,"ldl3",64,145,1907.41924057598,66.5092660335431,2.56431198120117,FALSE
15,3,"cvine",64,NA,NA,NA,NA,TRUE
15,3,"schur",64,NA,NA,NA,NA,TRUE
15,3,"qr2",64,0,3862.84408738884,63.709659707561,3.01549291610718,FALSE
15,3,"tri",64,0,8144.28489875878,145.433658906407,1.22200608253479,FALSE
15,4,"carpenter",64,43,1950.76460949094,73.0158554287885,1.42086291313171,FALSE
15,4,"pinkney",64,26,2041.83524234493,71.6508840349836,1.4193480014801,FALSE
15,4,"ldl2",64,38,1820.22998672412,65.1035440010059,1.83001208305359,FALSE
15,4,"ldl3",64,49,1796.9300850076,82.0628435405579,1.618084192276,FALSE
15,4,"cvine",64,NA,NA,NA,NA,TRUE
15,4,"schur",64,NA,NA,NA,NA,TRUE
15,4,"qr2",64,0,3660.15892975236,62.0955301600224,2.83936905860901,FALSE
15,4,"tri",64,0,8389.74240666437,149.816828690435,1.22804403305054,FALSE
25,1,"carpenter",143,NA,NA,NA,NA,TRUE
25,1,"pinkney",143,NA,NA,NA,NA,TRUE
25,1,"ldl2",143,NA,NA,NA,NA,TRUE
25,1,"ldl3",143,NA,NA,NA,NA,TRUE
25,1,"cvine",143,NA,NA,NA,NA,TRUE
25,1,"schur",143,NA,NA,NA,NA,TRUE
25,1,"qr2",143,0,3855.74517424103,2.91423684745881,852.498436927795,FALSE
